250	 9.0562500000e+001	 9.96548e-001
251	 9.0625000000e+001	 9.96252e-001
252	 9.0687500000e+001	 9.93700e-001
253	 9.0750000000e+001	 9.89845e-001
254	 9.0812500000e+001	 9.93839e-001
255	 9.0875000000e+001	 9.91179e-001
256	 9.0937500000e+001	 9.96841e-001
257	 9.1000000000e+001	 9.98033e-001
258	 9.1062500000e+001	 9.92598e-001
259	 9.1125000000e+001	 9.78458e-001
260	 9.1187500000e+001	 9.96170e-001
261	 9.1250000000e+001	 9.95073e-001
262	 9.1312500000e+001	 9.89763e-001
263	 9.1375000000e+001	 9.90176e-001
264	 9.1437500000e+001	 9.96053e-001
265	 9.1500000000e+001	 9.87752e-001
266	 9.1562500000e+001	 9.90850e-001
267	 9.1625000000e+001	 9.97006e-001
268	 9.1687500000e+001	 9.90782e-001
269	 9.1750000000e+001	 9.89451e-001
270	 9.1812500000e+001	 9.93708e-001
271	 9.1875000000e+001	 9.92974e-001
272	 9.1937500000e+001	 9.97018e-001
273	 9.2000000000e+001	 9.98722e-001
274	 9.2062500000e+001	 9.95726e-001
275	 9.2125000000e+001	 9.96923e-001
276	 9.2187500000e+001	 9.95525e-001
277	 9.2250000000e+001	 9.94907e-001
278	 9.2312500000e+001	 9.95121e-001
279	 9.2375000000e+001	 9.95856e-001
280	 9.2437500000e+001	 9.90920e-001
281	 9.2500000000e+001	 9.89035e-001
282	 9.2562500000e+001	 9.94244e-001
283	 9.2625000000e+001	 9.97132e-001
284	 9.2687500000e+001	 9.98670e-001
285	 9.2750000000e+001	 9.98945e-001
286	 9.2812500000e+001	 9.98804e-001
287	 9.2875000000e+001	 9.98469e-001
288	 9.2937500000e+001	 9.97746e-001
289	 9.3000000000e+001	 9.91053e-001
290	 9.3062500000e+001	 9.98758e-001
291	 9.3125000000e+001	 9.99292e-001
292	 9.3187500000e+001	 9.97614e-001
293	 9.3250000000e+001	 9.96133e-001
294	 9.3312500000e+001	 9.94629e-001
295	 9.3375000000e+001	 9.96190e-001
296	 9.3437500000e+001	 9.97067e-001
297	 9.3500000000e+001	 9.89476e-001
298	 9.3562500000e+001	 9.92843e-001
299	 9.3625000000e+001	 9.87224e-001
300	 9.3687500000e+001	 9.87889e-001
301	 9.3750000000e+001	 9.80346e-001
302	 9.3812500000e+001	 9.91842e-001
303	 9.3875000000e+001	 9.67784e-001
304	 9.3937500000e+001	 9.71009e-001
305	 9.4000000000e+001	 9.83285e-001
